dancer_id,wins_2025,dancer_name,wins_total
6207,7,Nicole Ramirez,7
11759,7,Sebastian Quinones,7
14487,5,Kristen Wallace,5
17182,5,Noelle Hoeppner,5
20700,5,Mackenzie Keister,5
7258,4,Sheven Kekoolani,4
9139,4,Paiton Hebert,4
14098,4,Jeffrey Wingo,4
17343,4,Isaiah Tingus,4
20512,4,Keerigan Rudd,4
