dancer_id,wins,dancer_name,rank
10440,5,Daniel Pavlov,1
14017,2,Dmitriy Fionov,2
10751,2,Aleksey Vorotnikov,3
22032,2,Evgeniy Skorikov,4
22987,2,Tatiana Kaneva,5
23452,2,Yanna Zhdankina,6
14201,2,Pavel Katunin,7
22567,2,Vasiliy Skurydin,8
8173,2,Artur Radzikhovsky,9
7592,2,Marina Motronenko,10
