dancer_id,wins_2025,wins_total,dancer_name
20842,2,4,Clara Deiters
23666,2,2,Sarah Willis
10214,2,19,Joao Parada
9529,2,5,Elena Kotelnikova
20892,2,5,Aaron Mitchell
10324,2,5,Michael Caro
9478,2,2,Corrinne Schwartz
1047,2,9,Demetre Souliotes
9363,2,25,Bryn Anderson
23777,2,3,Jonathan Morgan
20835,2,4,Ngoc Anh Walter
23427,2,2,Hannah Ginsburg
23546,2,2,Gaby Sandoval
9053,2,9,Jade Bryan
8920,2,5,Andy Fernandes
8870,2,11,Todd Coulthard
11197,2,14,Ekaterina Wolff
11262,2,13,Anna Wallace
20775,2,2,William Danielsson
20719,2,4,Anastasiya Yuzhakova
20714,2,2,Viacheslav Volkov
8262,2,5,Sharell Weeams
13528,2,6,Haley Hauglum
7537,2,13,Emeline Rochefeuille
24379,2,2,Anik Dutta
20463,2,2,Angeline Sullivan
14057,2,12,Rolf Eirik
3041,2,13,Susan Kirklin
21136,2,4,Charlie Fournier
5748,2,38,Cameo Cross
20474,2,2,Shelby Evans
3331,2,23,Torri Zzaoui
22987,2,4,Tatiana Kaneva
14691,2,3,Tina Kronberg
25780,2,2,Dean Stroeder
14563,2,16,Leo Lorenzo
23163,2,3,Courtney Mejias
13589,2,8,Alejandro Hernandez
14489,2,5,Rachel Shook
25814,2,2,Jade Savoia
23189,2,4,Rafał Jasionkowski
5747,2,17,Maxence Martin
24278,2,3,Nicole Bruner
13957,2,8,John Carrez
22900,2,2,Gabriel J Rogers
25482,2,2,Yue Yu
20538,2,2,Denis Kosovich
4033,2,13,Lara Deni
619,2,54,Tatiana Mollmann
14770,2,21,Skylar Pritchard
25124,1,1,Natasha Spivak
25238,1,1,Andrea Pásztor
25237,1,1,Dora Kocsis
25441,1,1,Kevin Basham
25229,1,1,Dénes Nagy
25227,1,1,Regina Galiyeva
25442,1,1,Annaliese Mann
25585,1,1,Yaroslav Podkolzin
25143,1,1,Sophia Lanzner
25444,1,1,Leigh Jean Koinzan
25604,1,1,Nelly Ylitalo
25220,1,1,Ozlem Davis
25409,1,1,Pia Kim
25451,1,1,Lorne Sveinbjornson
25198,1,1,Charissa Spijkers
25587,1,1,Liana Aminova
25427,1,1,Karmen Majdič
25449,1,1,Brian Nuyen
25193,1,1,Anja Buchhorn
25187,1,1,David Castrejon
25594,1,1,Jakob Liliekvist
25602,1,1,Gioia Pettinari
25180,1,1,Nadiya Tyshetska
25456,1,1,Rebecca Oliver
25582,1,1,Tobias Solymosi
25172,1,1,Robin Lamm
25208,1,1,Jay Stewart
25324,1,1,Emily Kahn
25245,1,1,Aleksandra Świątek
25371,1,1,Asude Muftuoglu
25292,1,1,Michał Hryb
25548,1,1,Vincent DeRise
25366,1,1,Valentin Vogel
25354,1,1,Janelle Tang
25352,1,1,Cam-Tu Tomkins
25350,1,1,David Saylors
25349,1,1,Daniel Ahn
25335,1,1,Margot Rankins-Burd
25307,1,1,Kristina Uldina
25496,1,1,Sean Auyong
25319,1,1,Daniel Musallam
25321,1,1,Mackenzie Andrews
25519,1,1,Henry Chiang
25331,1,1,Elijah Pitt-Gryaznov
25506,1,1,Margot Hamelin
25290,1,1,Sydni Hearn
25551,1,1,Anna Lackman
25573,1,1,Caroline Maiß
25552,1,1,Noelia Guerrero
25259,1,1,Marie Nagy
25569,1,1,Viviane Kaltenbach
25472,1,1,Keith Lewis
25405,1,1,Seungsoo Lee
25473,1,1,Ivy Hotz
25261,1,1,Magdalena Machala
25565,1,1,Sofia Stock
25392,1,1,Aurélie Tesson
25271,1,1,Sylvain Moioli
25556,1,1,Felicity Humphrey
25275,1,1,Andrew Shuff
25280,1,1,Carron Dempster
25382,1,1,Dominika Wiatrowska
25381,1,1,Teodora Rășină
25553,1,1,Michael Jones
25135,1,1,Paige Rutherford
10042,1,1,Julie Grippon
25114,1,1,Maenard Bihis
24425,1,1,Guillaume Franque
24241,1,1,Srishti Love
24255,1,1,Nadia Mofidi
24260,1,1,Keith Lee
24262,1,1,Joey Tham
24266,1,2,Ethan Jasso
24280,1,1,Isabella Espinosa
24288,1,1,Hannah Byars
24364,1,1,Véda Szücs
24369,1,2,Jennifer Xiao
24374,1,1,Joana Benner
24387,1,1,Christelle Courtois
24399,1,1,Anežka Rajmonová
24402,1,1,Anton Volodko
24403,1,1,Theresa Fajardo
24437,1,1,Julia Thomas
24617,1,1,Mitchell Smith
24442,1,1,Nagy Tímea
24455,1,1,Breydon Lyall
24483,1,1,Hannah Uriel
24493,1,2,Mélanie Lizarte
24500,1,1,Sven Ferstl
24515,1,1,Eric Buchwald
24516,1,1,Una Kacavenda
24518,1,1,Ellanique Collins
24525,1,1,Magnus Ehnberg
24552,1,2,Alice Nuryati
24562,1,2,Kieran McGrath
24573,1,1,Nicole Hardwick
24591,1,1,Rosa Paparini
24598,1,1,Melissa Gillespie
