dancer_id,events,dancer_name,rank
20512,28,Keerigan Rudd,1
22004,26,Trenten Jackson,2
12089,23,Fernanda Dubiel,3
15201,23,Jula Palenga,4
11262,22,Anna Wallace,5
7124,22,Aidan Keith Hynes,6
11267,21,Za Thomaier,7
18760,20,Harold Baker,8
20128,19,Chase Warner,9
16297,18,Rachel Holdren,10
