dancer_id,events_2025,dancer_name,events_total
14487,22,Kristen Wallace,22
20700,21,Mackenzie Keister,21
11759,20,Sebastian Quinones,20
17182,20,Noelle Hoeppner,20
12417,18,Joseph Tong,18
20512,18,Keerigan Rudd,18
22890,18,Mathias Mendillo,18
17737,17,Shayla Bouise,17
18652,15,Eduardo Nunez,15
20974,15,Dario Haxhia,15
