dancer_id,events,dancer_name,rank
10440,10,Daniel Pavlov,1
20059,7,Timofei Ejov,2
22567,6,Vasiliy Skurydin,3
23452,6,Yanna Zhdankina,4
22032,6,Evgeniy Skorikov,5
22986,6,Kalaychidi Vladislav,6
20716,5,Ekaterina Grigorieva,7
20719,5,Anastasiya Yuzhakova,8
21381,5,Anna Zhukova,9
22569,5,Dmitriy Panov,10
