dancer_id,wins,dancer_name,rank
20512,13,Keerigan Rudd,1
8344,10,Zachary Skinner,2
22004,9,Trenten Jackson,3
11267,7,Za Thomaier,4
10719,7,Elizabeth Spann,5
10672,7,Thibault Ramirez,6
19404,6,Evan Schreiber,7
11162,5,Maina Vila Cobarsi,8
9363,5,Bryn Anderson,9
6207,5,Nicole Ramirez,10
