dancer_id,points,dancer_name,rank
22004,181,Trenten Jackson,1
20512,140,Keerigan Rudd,2
20700,99,Mackenzie Keister,3
20128,98,Chase Warner,4
10719,96,Elizabeth Spann,5
15201,96,Jula Palenga,6
22160,94,Corinne Smith,7
21834,93,Joseph Conroy,8
20259,91,Rachel Bowlby,9
8344,88,Zachary Skinner,10
